condition,group,name,num_samples,accuracy_strict,accuracy_relaxed
black,q_type,Color,34.0,0.29411764705882354,0.29411764705882354
black,q_type,Shape,7.0,0.0,0.0
black,content_type,unknown,1061.0,0.236569274269557,0.2695570216776626
black,modality,unknown,1061.0,0.236569274269557,0.2695570216776626
black,location,unknown,1061.0,0.236569274269557,0.2695570216776626
black,base_type,unknown,1061.0,0.236569274269557,0.2695570216776626
lpf,overall,overall,1061.0,0.46182846371347785,0.5353440150801131
lpf,answer_type,open,645.0,0.27906976744186046,0.39689922480620154
lpf,answer_type,closed,416.0,0.7451923076923077,0.75
lpf,eval_mode,text_match,706.0,0.29745042492917845,0.40793201133144474
lpf,eval_mode,yes_no,355.0,0.7887323943661971,0.7887323943661971
lpf,q_type,Organ,253.0,0.5731225296442688,0.616600790513834
lpf,q_type,Position,186.0,0.3709677419354839,0.45698924731182794
lpf,q_type,Abnormality,150.0,0.5066666666666667,0.58
lpf,q_type,KG,148.0,0.23648648648648649,0.32432432432432434
lpf,q_type,Modality,108.0,0.75,0.8333333333333334
lpf,q_type,Size,65.0,0.5538461538461539,0.7692307692307693
lpf,q_type,Plane,58.0,0.4827586206896552,0.5517241379310345
lpf,q_type,Quantity,52.0,0.0,0.0
lpf,q_type,Color,34.0,0.5294117647058824,0.5294117647058824
lpf,q_type,Shape,7.0,0.2857142857142857,0.2857142857142857
lpf,content_type,unknown,1061.0,0.46182846371347785,0.5353440150801131
lpf,modality,unknown,1061.0,0.46182846371347785,0.5353440150801131
lpf,location,unknown,1061.0,0.46182846371347785,0.5353440150801131
lpf,base_type,unknown,1061.0,0.46182846371347785,0.5353440150801131
hpf,overall,overall,1061.0,0.42412818096135724,0.49293119698397736
hpf,answer_type,open,645.0,0.24496124031007752,0.35658914728682173
hpf,answer_type,closed,416.0,0.7019230769230769,0.7043269230769231
hpf,eval_mode,text_match,706.0,0.26912181303116145,0.37252124645892354
hpf,eval_mode,yes_no,355.0,0.7323943661971831,0.7323943661971831
hpf,q_type,Organ,253.0,0.525691699604743,0.5731225296442688
hpf,q_type,Position,186.0,0.3333333333333333,0.3924731182795699
hpf,q_type,Abnormality,150.0,0.46,0.5333333333333333
hpf,q_type,KG,148.0,0.25675675675675674,0.33783783783783783
hpf,q_type,Modality,108.0,0.7037037037037037,0.7870370370370371
hpf,q_type,Size,65.0,0.5538461538461539,0.7538461538461538
hpf,q_type,Plane,58.0,0.46551724137931033,0.5517241379310345
hpf,q_type,Quantity,52.0,0.019230769230769232,0.019230769230769232
hpf,q_type,Color,34.0,0.17647058823529413,0.17647058823529413
hpf,q_type,Shape,7.0,0.2857142857142857,0.2857142857142857
hpf,content_type,unknown,1061.0,0.42412818096135724,0.49293119698397736
hpf,modality,unknown,1061.0,0.42412818096135724,0.49293119698397736
hpf,location,unknown,1061.0,0.42412818096135724,0.49293119698397736
hpf,base_type,unknown,1061.0,0.42412818096135724,0.49293119698397736
patch_shuffle,overall,overall,1061.0,0.24882186616399624,0.29029217719132894
patch_shuffle,answer_type,open,645.0,0.06046511627906977,0.12868217054263567
patch_shuffle,answer_type,closed,416.0,0.5408653846153846,0.5408653846153846
patch_shuffle,eval_mode,text_match,706.0,0.08923512747875353,0.15155807365439095
patch_shuffle,eval_mode,yes_no,355.0,0.5661971830985916,0.5661971830985916
patch_shuffle,q_type,Organ,253.0,0.31225296442687744,0.33201581027667987
patch_shuffle,q_type,Position,186.0,0.08064516129032258,0.10752688172043011
patch_shuffle,q_type,Abnormality,150.0,0.4666666666666667,0.54
patch_shuffle,q_type,KG,148.0,0.20270270270270271,0.2905405405405405
patch_shuffle,q_type,Modality,108.0,0.2777777777777778,0.37037037037037035
patch_shuffle,q_type,Size,65.0,0.15384615384615385,0.15384615384615385
patch_shuffle,q_type,Plane,58.0,0.29310344827586204,0.29310344827586204
patch_shuffle,q_type,Quantity,52.0,0.1346153846153846,0.1346153846153846
patch_shuffle,q_type,Color,34.0,0.11764705882352941,0.11764705882352941
patch_shuffle,q_type,Shape,7.0,0.2857142857142857,0.2857142857142857
patch_shuffle,content_type,unknown,1061.0,0.24882186616399624,0.29029217719132894
patch_shuffle,modality,unknown,1061.0,0.24882186616399624,0.29029217719132894
patch_shuffle,location,unknown,1061.0,0.24882186616399624,0.29029217719132894
patch_shuffle,base_type,unknown,1061.0,0.24882186616399624,0.29029217719132894
